image,Pepperoni,Bacon,Mushrooms,Onions,Peppers,Black olives,Tomatoes,Spinach,Fresh basil,Arugula,Broccoli,Corn,Pineapple
00088.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00089.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00090.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00091.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00092.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00095.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00097.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00098.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00099.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00100.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00101.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00103.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00104.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00105.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00106.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00110.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00111.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00112.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00114.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00115.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00117.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00118.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00122.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00127.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00128.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00131.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00133.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00136.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00137.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00140.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00141.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00142.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00146.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00147.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00148.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00149.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00151.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00152.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00155.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00157.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00158.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00160.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00162.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00163.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00164.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00165.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00166.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00167.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00169.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00174.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00175.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00178.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00180.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00181.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00182.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00183.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00184.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00188.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00189.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00190.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00191.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00192.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00194.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00195.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00196.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00197.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00199.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00201.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00202.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00204.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00206.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00208.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00210.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00211.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00213.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00215.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00216.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00217.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00220.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00221.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00222.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00223.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00226.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00229.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00230.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00232.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00233.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00234.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00236.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00239.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00243.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00244.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00245.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00247.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00252.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00253.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00254.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00255.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00256.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00257.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00258.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00259.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00261.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00262.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00266.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00269.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00270.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00271.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00272.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00273.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00274.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00275.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00277.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00278.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00280.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00284.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00285.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00286.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00287.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00290.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00294.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00296.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00297.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00298.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00299.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00301.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00302.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00303.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00304.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00306.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00308.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00310.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00312.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00313.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00314.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00315.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00316.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00318.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00321.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00325.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00326.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00327.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00328.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00329.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00331.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00332.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00333.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00336.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00339.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00341.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00344.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00347.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00348.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00350.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00351.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00352.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00354.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00356.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00359.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00360.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00361.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00365.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00366.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00368.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00371.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00373.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00375.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00376.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00377.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00378.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00380.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00382.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00383.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00386.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00387.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00388.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00394.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00395.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00396.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00399.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00403.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00405.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00406.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00414.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00418.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00419.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00420.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00421.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00422.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00423.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00424.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00425.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00426.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00427.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00433.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00435.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00439.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00441.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00443.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00444.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00448.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00449.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00451.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00454.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00455.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00456.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00458.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00459.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00460.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00461.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00462.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00464.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00465.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00468.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00470.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00472.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00473.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00475.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00478.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00479.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00480.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00482.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00483.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00485.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00486.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00488.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00489.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00490.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00491.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00492.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00493.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00497.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00498.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00499.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00500.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00501.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00505.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00506.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00507.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00508.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00509.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00512.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00514.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00516.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00518.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00521.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00523.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00524.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00528.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00530.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00532.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00533.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00534.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00537.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00540.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00544.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00545.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00546.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00547.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00548.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00555.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00556.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00557.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00559.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00561.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00562.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00564.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00567.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00569.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00570.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00571.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00572.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00574.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00575.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00577.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00578.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00579.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00581.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00583.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00584.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00586.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00587.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00588.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00591.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00593.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00594.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00595.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00596.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00597.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00598.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00599.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00600.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00601.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00604.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0
00605.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00607.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00608.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00610.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00611.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00612.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00615.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00616.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00617.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00618.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00620.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00621.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00624.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00625.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00629.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00630.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00634.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00635.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00642.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00643.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0
00644.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00647.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0
00649.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00650.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00652.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00653.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00658.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00659.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00660.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00661.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0
00664.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00665.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00666.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00667.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00669.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00670.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00672.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00673.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00675.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00676.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00678.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00679.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00680.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00682.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00685.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00686.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00688.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00690.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00691.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00693.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00695.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00696.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00699.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00703.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00704.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00706.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00707.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00708.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0
00710.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00712.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0
00715.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00716.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00717.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00718.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00719.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00720.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00721.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00724.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00727.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00729.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0
00734.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
00735.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00736.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0
00737.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0
00738.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0
